,count,mean,std,min,25%,50%,75%,max,range,variance
delta2_13_mean,1489.0,-0.0027067056993227675,0.029935169141921465,-0.1265663,-0.016807351,-0.0019499253,0.013291751,0.16980909,0.29637539,0.000896114351555447
delta2_13_std,1489.0,0.45032039738012086,0.24189416725331245,0.056128208,0.29047707,0.3982205,0.5514859,1.8499047,1.793776492,0.05851278815117349
spectral_centroid_mean,1489.0,1165.3873283152238,770.3440422969601,84.90320929859885,611.1382746571413,989.7959453314572,1544.7590913841325,4148.413161145491,4063.5099518468924,593429.9435024206
spectral_centroid_std,1489.0,737.5505832334198,470.68086487679085,39.39685332843886,411.5731862961009,630.754570000729,938.2770551141653,2210.3009573450317,2170.904104016593,221540.47656116387
spectral_bandwidth_mean,1489.0,909.9640151046799,527.5011176071424,67.45844481443834,499.3893099571849,792.2150906495701,1284.5019275176703,2351.4093396885355,2283.9508948740972,278257.42907678435
spectral_bandwidth_std,1489.0,506.33865830981136,247.77924355551664,38.83493985234303,305.6793042556862,504.041740911221,699.7504184605813,1162.221125881847,1123.386186029504,61394.55353694403
spectral_rolloff_mean,1489.0,2024.785531776722,1326.2367714515074,137.40079365079364,1058.0357142857142,1600.1984126984128,2785.9623015873017,6172.870222929936,6035.469429279143,1758903.973950118
spectral_rolloff_std,1489.0,1296.4353143747262,702.7328013390426,78.79111419221302,755.2586373405903,1167.53326679094,1705.849352312975,3366.947450370496,3288.156336178283,493833.3900778183
zero_crossing_rate_mean,1489.0,0.10762817293868764,0.09007490124211073,0.0005890376984126,0.0471927703373015,0.0819304935515873,0.1392876691878981,0.5618102058531746,0.5612211681547621,0.008113487833776
zero_crossing_rate_std,1489.0,0.08306066351643497,0.05899412209356089,0.0023503818492133,0.0401909525231396,0.0637996767185668,0.1054142899578517,0.2909764212347158,0.28862603938550246,0.0034803064415899693
rms_energy_mean,1489.0,0.06544333645752855,0.06338019731669273,0.000803422,0.022760259,0.048896283,0.08500401,0.61710644,0.616303018,0.004017049411902903
rms_energy_std,1489.0,0.07486564440335797,0.05034771235092406,0.0012782558,0.034717355,0.06670413,0.102432184,0.3603915,0.35911324419999996,0.002534892138971391
chroma_1_mean,1489.0,0.27550111398811283,0.18563143230422394,0.0010596522,0.12549295,0.24175315,0.40053576,0.90783167,0.9067720177999999,0.03445902865931767
chroma_1_std,1489.0,0.27516229754808597,0.08346915396880905,0.0049724556,0.223131,0.28200525,0.33386344,0.4779159,0.4729434444,0.006967099664268751
chroma_2_mean,1489.0,0.26696687653364676,0.18138787852568597,0.002183391,0.11701007,0.23132737,0.38530537,0.8931186,0.890935209,0.03290156247604901
chroma_2_std,1489.0,0.2680356350494291,0.08348394934036996,0.006134261,0.21515642,0.2782209,0.32599548,0.46389717,0.45776290900000005,0.006969569797465458
chroma_3_mean,1489.0,0.2657369343752183,0.18366241663131957,0.0032192927,0.112771645,0.2274842,0.39072153,0.8976193,0.8944000073,0.033731883282856416
chroma_3_std,1489.0,0.264790628435863,0.08315727816232438,0.008372886,0.21111077,0.2760917,0.32274947,0.46800873,0.45963584399999996,0.00691513291136619
